Geo Point;Geo Shape;gml_id;LOCALISATION;GID;IDENT;NATURE_N1;NATURE_N2;NATURE;SOUS_NATURE;GID_ACTE;DATE_DEBUT_ACTE;DATE_FIN_ACTE;GID_EMPRISE;TYPE_EMPRISE;LOCALISATION_EMPRISE;MES_LIBELLE;TYPE_GEOMETRIE
44.88041611109324, -0.5699417345578848;"{""coordinates"": [-0.569941734557885, 44.88041611109324], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158498;Rue Jean Royer au N° 30 (Bordeaux) situé en agglomération;158498;2414126;135;468;Travaux sur immeuble - Rénovation / Entretien;Grutage mobile;241861;2024-10-02;2024-10-02;306233;EMPRISE;22 Rue Jean Royer (Bordeaux);Rétrécissement de largeur de voie;POINT
44.88362536746971, -0.5718694180636061;"{""coordinates"": [-0.571869418063606, 44.88362536746971], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158721;Avenue Marcel Dassault (Bordeaux) en agglomération;158721;2414346;110;433;Gestion de l'espace public;Couche de roulement;242240#242234#242245;2024-09-23#2024-09-23#2024-12-03;2024-12-13#2024-12-13#2024-12-04;306670/306669#306662#306679/306677/306678;DEVIATION/EMPRISE#EMPRISE#DEVIATION/EMPRISE/DEVIATION;avenue Jean Gabriel Domergue direction le cour Charles Bricaud/Avenue Marcel Dassault entre l'avenue des 40 journaux et le pont des hotels#Avenue Marcel Dassault entre l'avenue des 40 journaux et le pont des hotels#Avenue Marcel Dassault direction avenue des quarante journaux/Avenue Marcel Dassault entre l'avenue des 40 journaux et le pont des hotels/Rue Jean Gabriel Domergue direction cour Charles Bricaud;Déviation/Interdiction de stationnement#Sens interdit (ou sens unique)#Déviation/Circulation interdite/Déviation;POINT
44.88436735147204, -0.5688891195416552;"{""coordinates"": [-0.568889119541655, 44.88436735147204], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.155117;Rue du Professeur André Lavignolle (Bordeaux) en agglomération;155117;2410851;110;618;Gestion de l'espace public;Aménagement général;235629;2024-07-08;2024-10-20;298248;EMPRISE;Rue du Professeur André Lavignolle;Sens interdit (ou sens unique);POINT
44.88700821653498, -0.5645776084430166;"{""coordinates"": [-0.564577608443017, 44.88700821653498], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159225;Rue Cardinal Richaud au N° 25 (Bordeaux) situé en agglomération;159225;2414809;139;611;Incendie et secours - Branchement;Création;243214;2024-10-14;2024-10-31;307882;EMPRISE;25 bis Rue Cardinal Richaud;Circulation alternée;POINT
44.8882083404818, -0.5608373438434797;"{""coordinates"": [-0.56083734384348, 44.8882083404818], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159001;Rue Germaine Tailleferre (Bordeaux) en agglomération;159001;2414591;110;434;Gestion de l'espace public;Entretien des espaces verts;242727;2024-10-08;2024-10-31;307266/307265;DEVIATION/EMPRISE;Rue Cardinal Richaud direction cour Charles Bricaud/Rue Germaine Tailleferre (Bordeaux);Déviation/Circulation interdite;POINT
44.888371231704625, -0.5574208991988602;"{""coordinates"": [-0.55742089919886, 44.888371231704625], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158687;Rue du Docteur Gabriel Pery (Bordeaux) en agglomération;158687;2414312;109;332;Electricité - Réseau;Création;242152;2024-09-12;2024-10-11;306555;EMPRISE;6 Rue du Docteur Gabriel Pery (Bordeaux);Rétrécissement de largeur de voie;POINT
44.889411436912326, -0.5640187143254911;"{""coordinates"": [-0.564018714325491, 44.889411436912326], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159012;Rue du Grand Barail au N° 8001 (Bordeaux) situé en agglomération;159012;2414601;110;434;Gestion de l'espace public;Entretien des espaces verts;242751;2024-10-08;2024-11-15;307294;EMPRISE;Rue du Grand Barail (Bordeaux);Circulation alternée;POINT
44.89923943473405, -0.5524979188334816;"{""coordinates"": [-0.552497918833482, 44.89923943473405], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.144307;Avenue de Labarde (Bordeaux) en agglomération;144307;2318811;97;425;Aménagement  de l'espace public;Aménagement de sécurité;233371;2024-06-19;2024-12-31;295338;EMPRISE;entre Avenue de Labarde et le Parc Des Berges;Neutralisation de voie;POINT
44.83151443190588, -0.5626842109966808;"{""coordinates"": [-0.562684210996681, 44.83151443190588], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.152613;Rue du Portail - A/ RUE BERROUET - BORDEAUX;152613;2408432;95;276;Adduction Eau Potable - Branchement;Renouvellement;243174;2024-10-07;2024-10-18;307825/307826/307828/307827;EMPRISE/EMPRISE/DEVIATION/EMPRISE;du 11 au 7 Rue du Portail (Bordeaux)/des rues depuis le carrefour rue du Portail, angle rue Berrouet (Bordeaux)/Rue du Port, rue Carpenteyre, rue Porte de la Monnaie (Bordeaux)/Rue du Portail, intersection rue Berrouet (Bordeaux);Interdiction de stationnement/Mise en impasse/Déviation/Neutralisation de voie;POINT
44.83137256025436, -0.5672994989383364;"{""coordinates"": [-0.567299498938336, 44.83137256025436], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158375;Rue du Hamel au N° 62BIS (Bordeaux) situé en agglomération;158375;2414003;129;410;Télécommunication - Réseau;Entretien;241664;2024-10-01;2024-10-07;305988/305991/305996/305990;EMPRISE/EMPRISE/DEVIATION/EMPRISE;Place des Capucins (Bordeaux), entre la rue du Hamel et la rue Clare/place des Capucins (Bordeaux), entre le Marché et la rue du Hamel/rue du Hamel, rue Saumenude, rue Clare/rue du Hamel (Bordeaux), entre la rue Saumenude et la place des Capucins;Neutralisation de voie/Mise en impasse/Déviation/Mise en impasse;POINT
44.831441812219424, -0.5731118591957343;"{""coordinates"": [-0.573111859195734, 44.831441812219424], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159167;Place de la Victoire (Bordeaux) en agglomération;159167;2414752;129;409;Télécommunication - Réseau;Inspection du réseau;243068;2024-10-02;2024-10-11;307694;EMPRISE;25 place de la Victoire, contre allée (Bordeaux);Neutralisation de voie;POINT
44.832456158701916, -0.5633965748607526;"{""coordinates"": [-0.563396574860753, 44.832456158701916], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159283;Rue Camille Sauvageau au N° 71 (Bordeaux) situé en agglomération;159283;2414867;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;243324;2024-10-16;2024-10-16;308016/308015;DEVIATION/EMPRISE;1/ Rue Camille Sauvageau, rue Beyssac, rue Carpenteyre, rue des Allamandiers, quai de la Monnaie, porte de la Monnaie (Bordeaux)/69 - 71 Rue Camille Sauvageau (Bordeaux);"Déviation/Neutralisation de voie;Mise en impasse";POINT
44.832225244224254, -0.5717020954314268;"{""coordinates"": [-0.571702095431427, 44.832225244224254], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.149092;Rue David Gradis au N° 3 (Bordeaux) situé en agglomération;149092;2405008;95;280;Adduction Eau Potable - Branchement;Déplacement;243107;2024-10-07;2024-10-18;307745/307744;DEVIATION/EMPRISE;Rue de Candale, rue Paul Broca (Bordeaux)/du face au 1 jusqu'au face au 5 rue David Gradis (Bordeaux);"Déviation/Mise en impasse;Neutralisation de voie;Interdiction de stationnement";POINT
44.83285780265601, -0.5617977577257688;"{""coordinates"": [-0.561797757725769, 44.83285780265601], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.145580;Rue Carpenteyre au N° 66 (Bordeaux) situé en agglomération;145580;2401588;107;326;Electricité - Branchement;Création;225558;2024-04-02;2025-04-05;285514/285515/285510;EMPRISE/DEVIATION/EMPRISE;rue Saint Benoit (Bordeaux)/rue des Benedictines, rue du Port, contre-allée Quai Sainte-Croix, rue Porte de la Monnaie (Bordeaux)/rue Carpenteyre (Bordeaux);Mise en impasse/Déviation/Mise en impasse;POINT
44.8342467169035, -0.5638737935412883;"{""coordinates"": [[-0.56386418800476, 44.834252571183775], [-0.563883399077816, 44.834240862623226]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.159212;Rue Carpenteyre au N° 10 (Bordeaux) situé en agglomération;159212;2414796;129;409;Télécommunication - Réseau;Inspection du réseau;243192;2024-10-10;2024-10-10;307852;EMPRISE;22 Rue Carpenteyre (Bordeaux);"Mise en impasse;Interruption de circulation";POINT
44.83563289846172, -0.5654723140757466;"{""coordinates"": [-0.565472314075747, 44.83563289846172], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.155111;Rue Maubec au N° 6 (Bordeaux) situé en agglomération;155111;2410845;127;398;Télécommunication - Branchement;Création;241710;2024-10-28;2024-11-09;306043/306042;DEVIATION/EMPRISE;Quai des Salinières (Bordeaux), rue des Faures, rue de la Fusterie/rue Maubec (Bordeaux), entre la rue de la Tour du Pin et la rue de la Fusterie;Déviation/Neutralisation de voie;POINT
44.835861881965386, -0.5661986041560029;"{""coordinates"": [-0.566198604156003, 44.835861881965386], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.154005;Rue des Pontets au N° 7 (Bordeaux) situé en agglomération;154005;2409770;127;398;Télécommunication - Branchement;Création;238977;2024-07-29;2025-08-23;302596/302597/302598;EMPRISE/EMPRISE/DEVIATION;rue des Pontets (Bordeaux)/rue Gensan (Bordeaux)/cours Victor Hugo, place Bir Hakeim, Quai des Salinières, rue Maubec;Mise en impasse/Mise en impasse/Déviation;POINT
44.83932074069361, -0.571276456836733;"{""coordinates"": [[-0.570588113359519, 44.83928143291108], [-0.571964800313948, 44.839360048476145]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.157129;Rue des Bahutiers au N° 12 (Bordeaux) situé en agglomération Rue du Pas Saint-Georges au N° 32 (Bordeaux) situé en agglomération;157129;2412801;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;240742;2024-09-23;2024-10-11;304858;EMPRISE;32 Rue du Pas Saint-Georges (Bordeaux);Interruption de circulation;POINT
44.84569990588632, -0.5560779484962879;"{""coordinates"": [[-0.556070058094739, 44.84570693996055], [-0.556085838897837, 44.84569287181208]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.159246;Rue Hortense au N° 150 (Bordeaux) situé en agglomération;159246;2414830;110;433;Gestion de l'espace public;Couche de roulement;243256;2024-10-21;2024-11-02;307930/307929;DEVIATION/EMPRISE;Rue de la Rotonde (Bordeaux) ou de la rue Gustave Carde vers la rue Gustave Carde et la rue Raymond lavigne/Rue Hortense, de la Rue de la Rotonde jusqu'au Quai des Queyries (Bordeaux);"Déviation/Circulation interdite;Interdiction de stationnement";POINT
44.85020052185846, -0.5418799584372087;"{""coordinates"": [-0.541879958437209, 44.85020052185846], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.154317;Rue Savigne Chanteloup au N° 15 (Bordeaux) situé en agglomération;154317;2410076;95;275;Adduction Eau Potable - Branchement;Création;236198#240993;2024-07-29#2024-09-16;2025-08-09#2024-10-04;299000/298999#None;DEVIATION/EMPRISE#None;Avenue Thiers (Bordeaux), rue Baudry Lacantinerie, rue Jules verne, vers Savigné Chanteloup/15 Rue Savigne Chanteloup (Bordeaux)#None;"Déviation/Interdiction de stationnement;Circulation interdite;Mise en impasse#None";POINT
44.851293285129856, -0.5450372550535397;"{""coordinates"": [-0.54503725505354, 44.851293285129856], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.136952;Cité Souriaux au N° 28 (Bordeaux) situé en agglomération;136952;2312246;98;290;Assainissement - Branchement;Création;207872;2023-10-09;2024-10-27;263544;EMPRISE;du 16 au 28 Cité Souriaux Les deux côtés (Bordeaux);"Interdiction de stationnement;Circulation interdite";POINT
44.85184944810617, -0.541216923806702;"{""coordinates"": [-0.541216923806702, 44.85184944810617], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.147287;Avenue Thiers (Bordeaux) en agglomération;147287;2403245;112;377;Gaz - Branchement;Création;235318;2024-07-10;2025-07-23;297845;EMPRISE;350 Avenue Thiers (Bordeaux);"Neutralisation de voie;Interdiction de stationnement";POINT
44.85232646813042, -0.542394384630168;"{""coordinates"": [-0.542394384630168, 44.85232646813042], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.147288;Rue des Vivants au N° 45 (Bordeaux) situé en agglomération;147288;2403246;112;377;Gaz - Branchement;Création;235479;2024-07-28;2025-08-07;298041/298042;EMPRISE/EMPRISE;du 46 au 48 et au 45 Rue des Vivants (Bordeaux)/46 Rue des Vivants (Bordeaux);"Interdiction de stationnement/Neutralisation de voie;Circulation alternée";POINT
44.85266511162176, -0.5411170955186975;"{""coordinates"": [-0.541117095518697, 44.85266511162176], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.157658;Rue de Lauzac au N° 21 (Bordeaux) situé en agglomération;157658;2413303;95;278;Adduction Eau Potable - Branchement;Réparation;242043;2024-09-30;2024-10-31;306433/306432/306434;DEVIATION/EMPRISE/DEVIATION;rue des Vivants, rue de Deyme, avenue Thiers, vers rue de Lauzac (Bordeaux)/du 10 au 30 Rue de Lauzac (Bordeaux)/Rue des Vivants, avenue Thiers (demi-tours niveau rue Galin et face rue Capitaine Ferrand), vers rue de Lauzac (Bordeaux);"Déviation/Interdiction de stationnement;Circulation interdite;Mise en impasse/Déviation";POINT
44.85301924405825, -0.5745916317764089;"{""coordinates"": [-0.574591631776409, 44.85301924405825], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.157471;Passage Feger au N° 1 (Bordeaux) situé en agglomération;157471;2413127;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;243816;2024-10-01;2024-10-04;308634/308635;EMPRISE/EMPRISE;Passage Feger (Bordeaux)/Rue Cantemerle (Bordeaux);Circulation interdite/Mise en impasse;POINT
44.85413267018932, -0.5700071988454987;"{""coordinates"": [-0.570007198845499, 44.85413267018932], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.155020;Rue Pomme d'Or au N° 50 (Bordeaux) situé en agglomération;155020;2410754;107;326;Electricité - Branchement;Création;243556;2024-10-03;2024-10-11;308311/308312;EMPRISE/EMPRISE;50 Rue Pomme d'Or (Bordeaux)/du 51 au 53 Rue Pomme d'Or (Bordeaux);Neutralisation de voie/Interdiction de stationnement;POINT
44.856594499169276, -0.5622219153015745;"{""coordinates"": [-0.562221915301575, 44.856594499169276], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.138283;136 Quai des Chartrons (Bordeaux) en agglomération;138283;2313504;95;275;Adduction Eau Potable - Branchement;Création;213343;2023-11-27;2024-12-15;270448/270449;EMPRISE/DEVIATION;Du 135 Quai des Chartrons jusqu'à la rue Maurice/déviation des véhicules par la rue Lombard;Interruption de circulation/Déviation;POINT
44.85663531848031, -0.5695661777216304;"{""coordinates"": [-0.56956617772163, 44.85663531848031], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.152980;RUE PRUNIER - 1+5+7+19+23+31+33+46+55+57+64+68+113;152980;2408783;95;276;Adduction Eau Potable - Branchement;Renouvellement;243536;2024-09-27;2024-10-04;308289;EMPRISE;du 1 au 113 Rue Prunier (Bordeaux);"Circulation interdite;Mise en impasse;Interdiction de stationnement";POINT
44.858549050294364, -0.5737370189591043;"{""coordinates"": [-0.573737018959104, 44.858549050294364], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.151302;Impasse Barreyre 2ème (Bordeaux) en agglomération;151302;2407167;133;460;Travaux sur immeuble - Construction;Mise en place clôture;241566;2024-09-06;2024-12-31;305867/305868;EMPRISE/EMPRISE;Face au 178 rue Barreyre pour un chantier situé Impasse Barreyre 2ème (Bordeaux)/178 rue Barreyre pour un chantier situé Impasse Barreyre 2ème (Bordeaux);Neutralisation de voie/Interdiction de stationnement;POINT
44.859659543916464, -0.5636100821201772;"{""coordinates"": [-0.563610082120177, 44.859659543916464], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.153631;Rue Surson au N° 77 (Bordeaux) situé en agglomération;153631;2409398;99;299;Assainissement - Réseau;Réparation;235439;2024-07-08;2025-07-26;297991;EMPRISE;77 Rue Surson;Rétrécissement de largeur de voie;POINT
44.86121449369369, -0.5603970353979562;"{""coordinates"": [-0.560397035397956, 44.86121449369369], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.149641;Rue Josephine au N° 99 (Bordeaux) situé en agglomération;149641;2405556;95;278;Adduction Eau Potable - Branchement;Réparation;226934;2024-04-22;2025-05-24;287263/287264;EMPRISE/DEVIATION;Rue Josephine/Rue Dupaty via la rue Delord;Circulation interdite/Déviation;POINT
44.86420792515655, -0.5697084282053297;"{""coordinates"": [[-0.569709502920017, 44.86420929896566], [-0.569707353490643, 44.864206551347436]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.158688;Rue Samuel Kirsz au N° 5 (Bordeaux) situé en agglomération;158688;2414313;99;301;Assainissement - Réseau;Inspection du réseau;242169;2024-09-23;2024-10-14;306578;EMPRISE;Rue Samuel Kirsz (Bordeaux);Circulation alternée;POINT
44.86712727280479, -0.5543078018285945;"{""coordinates"": [[-0.554310541797066, 44.86712842415738], [-0.554305061860124, 44.867126121452195]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.150514;Rue des Etrangers au N° 89 (Bordeaux) situé en agglomération;150514;2406407;97;654;Aménagement  de l'espace public;Aménagement de voirie;226838;2024-04-22;2024-10-30;287136/287133/287134/287135;DEVIATION/EMPRISE/DEVIATION/DEVIATION;de la rue des Étrangers depuis le cours Henri Brunet vers le quai Armand Lalande se fera par le cours Henri Brunet, la rue de New York, la rue Blanqui, la rue de Gironde, le quai du Maroc, le quai Armand Lalalande/Fermeture Rue des Etrangers entre la sente des Radoubs et la sente de L'hermione/de la rue des Étrangers depuis le quai Armand Lalande vers le cours Henri Brunet par le quai Armand Lalalande , le quai du Maroc, la rue de Gironde, la rue Blanqui, la rue Delbos et le quai Huber Prom/de la rue des Etrangers depuis le cours Henri Brunet vers le quai Armand Lalande se fera par le quai Huber Prom, le cours Dupré de St maur, la rue Lucie Aubrac, la rue Blanqui, la rue de Gironde, le quai du Maroc, le quai Armand Lalalande;"Déviation/Mise en impasse;Neutralisation de voie/Déviation/Déviation";POINT
44.83263167611677, -0.6112042555138022;"{""coordinates"": [[-0.611204255513802, 44.83263167611677], [-0.611204255513802, 44.83263167611677]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.136333;Place de l'Eglise Saint Augustin au N° 18 (Bordeaux) situé en agglomération;136333;2311640;127;398;Télécommunication - Branchement;Création;228350#240268;2024-05-06#2024-09-07;2024-11-05#2025-01-06;289034#304226;EMPRISE#EMPRISE;"Sur l'ensemble du quartier Saint-Augustin / Tauzin / Alphonse Dupeux à l'exception des voies suivantes : rue Despagnet -rue d'Ornano - rue de la Pelouse de Douet - les Boulevards et leurs ""barrières"" - avenue d'Arès - rue Général de Larminat#Sur l'ensemble du quartier Saint-Augustin / Tauzin / Alphonse Dupeux à l'exception des voies suivantes : rue Despagnet -rue d'Ornano - rue de la Pelouse de Douet - les Boulevards et leurs ""barrières"" - avenue d'Arès - rue Général de Larminat";"Mesure libre circulation;Circulation interdite#Mesure libre circulation;Circulation interdite";POINT
44.84003753590673, -0.6008022755384415;"{""coordinates"": [[-0.600802275538441, 44.84003753590673], [-0.600802275538441, 44.84003753590673]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.158457;Rue de la Liberté au N° 50 (Bordeaux) situé en agglomération;158457;2414085;129;404;Télécommunication - Réseau;Création;241809;2024-09-23;2024-10-11;306168/306169/306170;EMPRISE/EMPRISE/EMPRISE;26 Avenue de la République (Bordeaux) angle Rue de la Liberté/Avenue de la République (Bordeaux)/Avenue Bel Air (Bordeaux);"Rétrécissement de largeur de voie;Limitation de vitesse/Neutralisation de voie/Neutralisation de voie;Rétrécissement de largeur de voie;Limitation de vitesse";POINT
44.84131921010177, -0.5900482557406855;"{""coordinates"": [-0.590048255740686, 44.84131921010177], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158466;Rue Lachassaigne au N° 9 (Bordeaux) situé en agglomération;158466;2414094;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;241820;2024-09-27;2024-10-04;306182/306183;EMPRISE/EMPRISE;face au 7 Rue Lachassaigne/7 Rue Lachassaigne;Interdiction de stationnement/Neutralisation de voie;POINT
44.84344960456303, -0.5771370345925685;"{""coordinates"": [-0.577137034592568, 44.84344960456303], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.151256;Rue Michel Montaigne au N° 13 (Bordeaux) situé en agglomération;151256;2407121;127;401;Télécommunication - Branchement;Réparation;232655;2024-06-17;2025-06-26;294508;EMPRISE;13 Rue Michel Montaigne (Bordeaux);"Circulation interdite;Mise en impasse";POINT
44.84399459842346, -0.5760011753095999;"{""coordinates"": [-0.5760011753096, 44.84399459842346], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158296;Allée de Tourny (Bordeaux) en agglomération;158296;2413924;98;291;Assainissement - Branchement;Renouvellement;241551;2024-09-23;2024-10-14;305849/305851/305847/305850/305848;DEVIATION/DEVIATION/EMPRISE/EMPRISE/EMPRISE;Allée de Tourny - Rue Mautrec/Allée de Tourny - Rue Jean Jacques Bel/Allée d'Orleans (Bordeaux) Allée de Tourny (Bordeaux) Rue Esprit-Des-Lois (Bordeaux)/Rue Mautrec (Bordeaux)/Rue Jean-Jacques Bel (Bordeaux);Déviation/Déviation/Rétrécissement de largeur de voie/Circulation interdite/Circulation interdite;POINT
